Term,Definition,Example,Link
"Accessibility","Designing content and interfaces that are usable by people with disabilities, including visual, auditory, physical, speech, cognitive, and neurological.","```javascript
// Accessible label
<input aria-label='Username'>
```","[[06-glossary-fs.md#Accessibility|Accessibility]]"
"AJAX","A technique that allows web applications to retrieve data from the server asynchronously without interfering with the display and behavior of the existing page.","```javascript
fetch('/api/data')
  .then(response => response.json())
  .then(data => console.log(data));
```","[[06-glossary-fs.md#AJAX|AJAX]]"
"Array","A data structure that holds a list of values in a single variable, accessible by index.","```javascript
const arr = [1, 2, 3];
console.log(arr[0]);
```","[[06-glossary-fs.md#Array|Array]]"
"Boolean","A primitive data type that can only have two values: true or false.","```javascript
let isOn = true;
if (isOn) console.log('The light is on.');
```","[[06-glossary-fs.md#Boolean|Boolean]]"
"Callback","A function passed into another function as an argument, which is then invoked inside the outer function.","```javascript
setTimeout(function() {
  console.log('Callback executed');
}, 1000);
```","[[06-glossary-fs.md#Callback|Callback]]"
"Class","A blueprint for creating objects with shared properties and methods.","```javascript
class Dog {
  constructor(name) {
    this.name = name;
  }
  bark() {
    console.log(`${this.name} barks.`);
  }
}
```","[[06-glossary-fs.md#Class|Class]]"
"Closure","A function that retains access to variables from its lexical scope even when executed outside that scope.","```javascript
function outer() {
  let count = 0;
  return function inner() {
    return ++count;
  };
}
const counter = outer();
console.log(counter()); // 1
```","[[06-glossary-fs.md#Closure|Closure]]"
"Console","An object in the browser used to output messages, errors, and debug information.","```javascript
console.log('Hello from the console!');
```","[[06-glossary-fs.md#Console|Console]]"
"Constructor","A special method used to initialize objects created with a class.","```javascript
class Person {
  constructor(name) {
    this.name = name;
  }
}
```","[[06-glossary-fs.md#Constructor|Constructor]]"
"CSS","A style sheet language used to describe the presentation of HTML elements.","```css
body {
  background-color: #f0f0f0;
}
```","[[06-glossary-fs.md#CSS|CSS]]"
Term,Definition,Example,Link
"Data Attribute","A custom attribute in HTML used to store extra information on standard elements.","```html
<div data-user-id=\"12345\">User Info</div>
```","[[06-glossary-fs.md#Data Attribute|Data Attribute]]"
"Debugging","The process of identifying and fixing issues or bugs in code.","```javascript
console.log('Debugging starts here');
```","[[06-glossary-fs.md#Debugging|Debugging]]"
"Destructuring","A syntax that allows extracting values from arrays or properties from objects.","```javascript
const [a, b] = [1, 2];
const { name } = { name: 'Alice' };
```","[[06-glossary-fs.md#Destructuring|Destructuring]]"
"DOM","The Document Object Model represents the structure of a web page as a tree of objects.","```javascript
document.getElementById('header');
```","[[06-glossary-fs.md#DOM|DOM]]"
"Event","An action or occurrence recognized by the browser, such as clicks or key presses.","```javascript
button.addEventListener('click', handleClick);
```","[[06-glossary-fs.md#Event|Event]]"
"Event Listener","A function that waits for a specific event to occur on a specified element.","```javascript
document.addEventListener('keydown', (e) => {
  console.log(e.key);
});
```","[[06-glossary-fs.md#Event Listener|Event Listener]]"
"Fetch","A method for making HTTP requests from the browser.","```javascript
fetch('/api/data')
  .then(res => res.json())
  .then(data => console.log(data));
```","[[06-glossary-fs.md#Fetch|Fetch]]"
"Flexbox","A CSS layout model for arranging items in rows or columns.","```css
.container {
  display: flex;
  justify-content: center;
}
```","[[06-glossary-fs.md#Flexbox|Flexbox]]"
"For Loop","A control flow statement that repeats a block of code a specific number of times.","```javascript
for (let i = 0; i < 3; i++) {
  console.log(i);
}
```","[[06-glossary-fs.md#For Loop|For Loop]]"
"Function","A reusable block of code that performs a specific task.","```javascript
function greet(name) {
  return `Hello, ${name}`;
}
```","[[06-glossary-fs.md#Function|Function]]"
"Git","A version control system used to track changes in source code.","```bash
git commit -m \"Initial commit\"
```","[[06-glossary-fs.md#Git|Git]]"
"Grid","A CSS layout system for arranging elements in two dimensions.","```css
.container {
  display: grid;
  grid-template-columns: 1fr 1fr;
}
```","[[06-glossary-fs.md#Grid|Grid]]"
"HTML","The standard markup language used to create web pages.","```html
<!DOCTYPE html>
<html>
  <head><title>Page</title></head>
  <body>Hello</body>
</html>
```","[[06-glossary-fs.md#HTML|HTML]]"
"Hoisting","A JavaScript behavior where variable and function declarations are moved to the top of their scope.","```javascript
console.log(a); // undefined
var a = 5;
```","[[06-glossary-fs.md#Hoisting|Hoisting]]"
"HTTP","The protocol used for transmitting web pages over the internet.","```http
GET /index.html HTTP/1.1
Host: example.com
```","[[06-glossary-fs.md#HTTP|HTTP]]"
"ID","An attribute used in HTML to uniquely identify an element.","```html
<div id=\"main\"></div>
```","[[06-glossary-fs.md#ID|ID]]"
"If Statement","A conditional statement that executes code if a condition is true.","```javascript
if (x > 5) {
  console.log('x is greater than 5');
}
```","[[06-glossary-fs.md#If Statement|If Statement]]"
"Index","The position of an element in an array, starting from 0.","```javascript
const items = ['a', 'b', 'c'];
console.log(items[1]); // 'b'
```","[[06-glossary-fs.md#Index|Index]]"
"JavaScript","A scripting language used to create dynamic web content.","```javascript
alert('Hello, JavaScript!');
```","[[06-glossary-fs.md#JavaScript|JavaScript]]"
"JSON","JavaScript Object Notation — a format for storing and exchanging data.","```javascript
const json = '{\"name\": \"Alice\"}';
const obj = JSON.parse(json);
```","[[06-glossary-fs.md#JSON|JSON]]"
Term,Definition,Example,Link
"Key","A property name used to access a value within an object.","```javascript
const user = { name: 'Sam' };
console.log(user['name']); // 'Sam'
```","[[06-glossary-fs.md#Key|Key]]"
"Let","A block-scoped variable declaration introduced in ES6.","```javascript
let count = 0;
if (true) {
  let count = 5;
  console.log(count); // 5
}
```","[[06-glossary-fs.md#Let|Let]]"
"Link","An HTML element that defines a hyperlink to another resource.","```html
<a href='https://example.com'>Visit</a>
```","[[06-glossary-fs.md#Link|Link]]"
"Local Storage","A web API for storing key-value pairs in the browser that persist across sessions.","```javascript
localStorage.setItem('theme', 'dark');
```","[[06-glossary-fs.md#Local Storage|Local Storage]]"
"Loop","A programming structure that repeats a block of code.","```javascript
while (true) {
  console.log('looping...');
  break;
}
```","[[06-glossary-fs.md#Loop|Loop]]"
"Margin","The space around an element outside of its border in CSS.","```css
div {
  margin: 20px;
}
```","[[06-glossary-fs.md#Margin|Margin]]"
"Media Query","A CSS technique used to apply styles based on device characteristics.","```css
@media (max-width: 600px) {
  body {
    background: pink;
  }
}
```","[[06-glossary-fs.md#Media Query|Media Query]]"
"Method","A function that is a property of an object.","```javascript
const obj = {
  greet() {
    return 'Hi';
  }
};
```","[[06-glossary-fs.md#Method|Method]]"
"Module","A reusable chunk of code that can be imported/exported in JavaScript.","```javascript
// math.js
export function add(a, b) {
  return a + b;
}
```","[[06-glossary-fs.md#Module|Module]]"
"NaN","Represents 'Not-a-Number', a result of invalid number operations.","```javascript
console.log(0 / 'a'); // NaN
```","[[06-glossary-fs.md#NaN|NaN]]"
"Node","An individual element in the DOM tree.","```javascript
const node = document.createElement('div');
```","[[06-glossary-fs.md#Node|Node]]"
